fact,val
CashAndCashEquivalentsAtCarryingValue,9366000000.0
OtherShortTermInvestments,2997000000.0
CashCashEquivalentsAndShortTermInvestments,12363000000.0
MarketableSecurities,1300000000.0
AccountsReceivableNetCurrent,3410000000.0
InventoryNet,4424000000.0
PrepaidExpenseAndOtherAssetsCurrent,5235000000.0
AssetsCurrent,26732000000.0
EquityMethodInvestments,19671000000.0
OtherInvestments,118000000.0
OtherAssetsNoncurrent,7162000000.0
DeferredIncomeTaxAssetsNet,1561000000.0
PropertyPlantAndEquipmentNet,9236000000.0
IndefiniteLivedTrademarks,14349000000.0
Goodwill,18358000000.0
OtherIntangibleAssetsNet,516000000.0
Assets,97703000000.0
AccountsPayableAndAccruedLiabilitiesCurrent,15485000000.0
NotesAndLoansPayable,4557000000.0
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,1960000000.0
AccruedIncomeTaxesCurrent,1569000000.0
LiabilitiesCurrent,23571000000.0
LongTermDebtNoncurrent,35547000000.0
OtherLiabilitiesNoncurrent,8466000000.0
DeferredIncomeTaxLiabilitiesNet,2639000000.0
CommonStockValue,1760000000.0
AdditionalPaidInCapitalCommonStock,19209000000.0
RetainedEarningsAccumulatedDeficit,73782000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-14275000000.0
TreasuryStockValue,54535000000.0
StockholdersEquity,25941000000.0
MinorityInterest,1539000000.0
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,27480000000.0
LiabilitiesAndStockholdersEquity,97703000000.0
